Player,Team,Pos,Pos2,Age,Matches ,Starts,Min,Min per match,Gls,Ast,G-PK,PK,PKatt,CrdY,CrdR,G per 90,A per 90,G+A,xG,npxG,xA,xG,xA,xG+xA
Douglas Luiz,Aston Villa,MF,,23,34,31,"2,715",79,2,3,2,0,0,7,0,0.07,0.1,0.17,2,2,2.5,0.07,0.08,0.15
Ezri Konsa,Aston Villa,DF,,23,29,29,"2,477",85,2,0,2,0,0,6,2,0.07,0,0.07,1.5,1.5,0.3,0.05,0.01,0.06
Jacob Ramsey,Aston Villa,MF,,20,34,29,"2,467",72,6,1,6,0,0,6,0,0.22,0.04,0.26,3.8,3.8,2,0.14,0.07,0.21
Emi Buendía,Aston Villa,FW,MF,24,35,22,"1,899",54,4,6,4,0,0,1,0,0.19,0.28,0.47,3.1,3.1,5.5,0.14,0.26,0.41
Danny Ings,Aston Villa,FW,,29,30,22,"1,898",63,7,6,6,1,1,4,0,0.33,0.28,0.62,7.3,6.6,2,0.35,0.1,0.44
Matt Targett,Aston Villa,DF,,25,17,17,"1,431",84,1,1,1,0,0,2,0,0.06,0.06,0.13,0.5,0.5,2.2,0.03,0.14,0.17
Philippe Coutinho,Aston Villa,MF,FW,29,19,16,"1,329",69,5,3,5,0,0,0,0,0.34,0.2,0.54,3.7,3.7,3.2,0.25,0.22,0.47
Lucas Digne,Aston Villa,DF,,28,16,16,"1,269",79,0,4,0,0,0,2,0,0,0.28,0.28,0.6,0.6,2,0.04,0.14,0.18
Ashley Young,Aston Villa,DF,FW,36,24,10,"1,250",52,0,2,0,0,0,2,0,0,0.14,0.14,0.4,0.4,0.7,0.03,0.05,0.08
Marvelous Nakamba,Aston Villa,MF,,27,16,10,904,56,0,0,0,0,0,5,0,0,0,0,0,0,0.1,0,0.01,0.01
Calum Chambers,Aston Villa,DF,,26,11,9,831,75,1,0,1,0,0,1,0,0.11,0,0.11,0.2,0.2,0.1,0.02,0.01,0.04
Leon Bailey,Aston Villa,FW,MF,23,18,7,761,42,1,2,1,0,0,3,0,0.12,0.24,0.35,1.6,1.6,0.6,0.19,0.07,0.26
Axel Tuanzebe,Aston Villa,DF,,23,9,6,508,56,0,0,0,0,0,1,0,0,0,0,0.2,0.2,0,0.03,0,0.03
Kortney Hause,Aston Villa,DF,,26,7,4,397,56,1,0,1,0,0,0,0,0.23,0,0.23,0.1,0.1,0,0.02,0,0.02
Anwar El Ghazi,Aston Villa,FW,MF,26,9,4,386,42,1,1,0,1,1,2,0,0.23,0.23,0.47,1.1,0.3,0.4,0.25,0.09,0.33
Morgan Sanson,Aston Villa,MF,,26,10,3,356,35,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.01
Carney Chukwuemeka,Aston Villa,MF,FW,17,12,2,301,25,0,1,0,0,0,0,0,0,0.3,0.3,0.6,0.6,1,0.17,0.29,0.46
Bertrand Traoré,Aston Villa,MF,FW,25,9,1,220,24,0,0,0,0,0,0,0,0,0,0,0.3,0.3,0,0.13,0,0.13
Tim Iroegbunam,Aston Villa,MF,,18,3,1,92,30,0,0,0,0,0,1,0,0,0,0,0.1,0.1,0,0.13,0,0.13
Robin Olsen,Aston Villa,GK,,31,1,1,90,90,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Jed Steer,Aston Villa,GK,,28,1,1,90,90,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Cameron Archer,Aston Villa,MF,FW,19,3,0,27,9,0,0,0,0,0,0,0,0,0,0,0,0,0,0.07,0,0.07
Keinan Davis,Aston Villa,FW,,23,1,0,12,12,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Trézéguet,Aston Villa,FW,,26,1,0,11,11,0,0,0,0,0,0,0,0,0,0,0.1,0.1,0,0.51,0,0.51
Jaden Philogene Bidace,Aston Villa,FW,,19,1,0,5,5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Wesley Moraes,Aston Villa,FW,,24,1,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Lamare Bogarde,Aston Villa,MF,,17,0,0,,,,,,,,,,,,,,,,,,
Benjamin Chrisene,Aston Villa,DF,,17,0,0,,,,,,,,,,,,,,,,,,
Josh Feeney,Aston Villa,DF,,16,0,0,,,,,,,,,,,,,,,,,,
Frederic Guilbert,Aston Villa,DF,MF,26,0,0,,,,,,,,,,,,,,,,,,
Conor Hourihane,Aston Villa,MF,,30,0,0,,,,,,,,,,,,,,,,,,
Kaine Kessler,Aston Villa,DF,MF,18,0,0,,,,,,,,,,,,,,,,,,
Filip Marshall,Aston Villa,GK,,18,0,0,,,,,,,,,,,,,,,,,,
Tommi O'Reilly,Aston Villa,MF,,17,0,0,,,,,,,,,,,,,,,,,,
Aaron Ramsey,Aston Villa,MF,,18,0,0,,,,,,,,,,,,,,,,,,
Viljami Sinisalo,Aston Villa,GK,,19,0,0,,,,,,,,,,,,,,,,,,
Pontus Jansson,Brentford,DF,,30,37,37,"3,321",89,3,1,3,0,0,7,0,0.08,0.03,0.11,2.9,2.9,0.5,0.08,0.01,0.09
Christian Nørgaard,Brentford,MF,,27,35,35,"3,054",87,3,4,3,0,0,8,0,0.09,0.12,0.21,3.2,3.2,3.1,0.09,0.09,0.19
Bryan Mbeumo,Brentford,FW,,21,35,34,"2,905",83,4,7,3,1,1,4,0,0.12,0.22,0.34,9.7,9,3.6,0.3,0.11,0.41
Rico Henry,Brentford,DF,,24,34,33,"2,776",81,3,0,3,0,0,2,0,0.1,0,0.1,1.8,1.8,1.7,0.06,0.06,0.11
Ivan Toney,Brentford,FW,,25,33,32,"2,909",88,12,5,7,5,5,8,0,0.37,0.15,0.53,12,8.2,5.8,0.37,0.18,0.55
Ethan Pinnock,Brentford,DF,,28,32,32,"2,694",84,1,1,1,0,0,1,0,0.03,0.03,0.07,1.5,1.5,1.2,0.05,0.04,0.09
Vitaly Janelt,Brentford,MF,,23,31,27,"2,298",74,4,0,4,0,0,3,0,0.16,0,0.16,2.6,2.6,2.2,0.1,0.09,0.19
Sergi Canós,Brentford,DF,,24,31,25,"2,083",67,3,2,3,0,0,8,1,0.13,0.09,0.22,3,3,1.9,0.13,0.08,0.21
David Raya,Brentford,GK,,25,24,24,"2,160",90,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0
Kristoffer Ajer,Brentford,DF,,23,24,23,"1,995",83,1,3,1,0,0,5,0,0.05,0.14,0.18,0.8,0.8,1.4,0.04,0.06,0.1
Mathias Jensen,Brentford,MF,,25,31,19,"1,601",51,0,1,0,0,0,0,0,0,0.06,0.06,2.5,2.5,3.6,0.14,0.2,0.34
Yoane Wissa,Brentford,FW,MF,24,30,12,"1,284",42,7,1,7,0,0,0,0,0.49,0.07,0.56,3.7,3.7,0.7,0.26,0.05,0.31
Mads Roerslev,Brentford,DF,,22,21,12,"1,240",59,1,1,1,0,0,1,0,0.07,0.07,0.15,0.3,0.3,0.9,0.02,0.06,0.08
Álvaro Fernández,Brentford,GK,,23,12,12,"1,080",90,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Frank Onyeka,Brentford,MF,,23,20,12,"1,045",52,0,0,0,0,0,4,0,0,0,0,1.1,1.1,0.2,0.1,0.02,0.11
Christian Eriksen,Brentford,MF,,29,11,10,939,85,1,4,1,0,0,1,0,0.1,0.38,0.48,1.4,1.4,3.6,0.14,0.34,0.48
Shandon Baptiste,Brentford,MF,,23,22,9,910,41,1,1,1,0,0,2,1,0.1,0.1,0.2,0.7,0.7,0.5,0.07,0.05,0.12
Mads Bech Sørensen,Brentford,DF,,22,11,9,835,75,0,0,0,0,0,3,0,0,0,0,0.1,0.1,0.4,0.01,0.04,0.05
Mathias Jørgensen,Brentford,DF,,31,8,6,518,64,1,0,1,0,0,2,0,0.17,0,0.17,0.1,0.1,0.1,0.02,0.02,0.03
Saman Ghoddos,Brentford,DF,MF,27,17,4,536,31,1,1,1,0,0,2,0,0.17,0.17,0.34,0.6,0.6,1.2,0.11,0.21,0.32
Charlie Goode,Brentford,DF,,25,6,4,450,75,0,0,0,0,0,3,0,0,0,0,0.1,0.1,0.3,0.03,0.07,0.1
Josh Dasilva,Brentford,MF,FW,22,9,2,257,28,0,0,0,0,0,0,1,0,0,0,0,0,0.1,0.02,0.04,0.05
Jonas Lössl,Brentford,GK,,32,2,2,180,90,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Dominic Thompson,Brentford,DF,,21,2,2,146,73,0,0,0,0,0,0,0,0,0,0,0,0,0,0.01,0,0.01
Marcus Forss,Brentford,FW,MF,22,7,1,209,29,0,1,0,0,0,0,0,0,0.43,0.43,0.2,0.2,0,0.1,0,0.1
Mads Bidstrup,Brentford,MF,,20,4,0,41,10,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Tariqe Fosu,Brentford,DF,,25,1,0,17,17,0,0,0,0,0,0,0,0,0,0,0,0,0,0.16,0,0.16
Finley Stevens,Brentford,DF,,18,1,0,15,15,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.25,0.25
Nathan Young-Coombes,Brentford,FW,,18,1,0,4,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Matthew Cox,Brentford,GK,,18,0,0,,,,,,,,,,,,,,,,,,
Halil Dervi?o?lu,Brentford,FW,,21,0,0,,,,,,,,,,,,,,,,,,
Patrik Gunnarsson,Brentford,GK,,20,0,0,,,,,,,,,,,,,,,,,,
Maxwell Haygarth,Brentford,MF,,19,0,0,,,,,,,,,,,,,,,,,,
Julian Jeanvier,Brentford,DF,,29,0,0,,,,,,,,,,,,,,,,,,
Edmond-Paris Maghoma,Brentford,MF,,20,0,0,,,,,,,,,,,,,,,,,,
Myles Peart-Harris,Brentford,MF,,18,0,0,,,,,,,,,,,,,,,,,,
Robert Sánchez,Brighton & Hove Albion,GK,,23,37,37,"3,329",89,0,0,0,0,0,3,1,0,0,0,0,0,0.4,0,0.01,0.01
Marc Cucurella,Brighton & Hove Albion,DF,,23,35,35,"3,089",88,1,1,1,0,0,6,0,0.03,0.03,0.06,0.7,0.7,2.7,0.02,0.08,0.1
Joël Veltman,Brighton & Hove Albion,DF,,29,34,33,"2,874",84,1,1,1,0,0,6,0,0.03,0.03,0.06,0.9,0.9,1.1,0.03,0.03,0.06
Leandro Trossard,Brighton & Hove Albion,FW,MF,26,34,32,"2,805",82,8,3,7,1,1,2,0,0.26,0.1,0.35,6.8,6,4.1,0.22,0.13,0.35
Lewis Dunk,Brighton & Hove Albion,DF,,29,29,29,"2,573",88,1,0,1,0,0,3,1,0.03,0,0.03,1.2,1.2,0.2,0.04,0.01,0.05
Neal Maupay,Brighton & Hove Albion,FW,,24,32,25,"2,276",71,8,2,7,1,2,7,0,0.32,0.08,0.4,7.7,6.2,2.2,0.3,0.09,0.39
Yves Bissouma,Brighton & Hove Albion,MF,,24,26,25,"2,111",81,1,2,1,0,0,10,0,0.04,0.09,0.13,0.9,0.9,0.8,0.04,0.03,0.07
Pascal Groß,Brighton & Hove Albion,MF,DF,30,29,24,"2,038",70,2,4,2,0,1,1,0,0.09,0.18,0.26,2.9,2.2,5.3,0.13,0.24,0.36
Alexis Mac Allister,Brighton & Hove Albion,MF,FW,22,33,22,"2,123",64,5,2,3,2,3,4,0,0.21,0.08,0.3,6.5,4.2,1.5,0.28,0.06,0.34
